Key,Id,English(en),Vietnamese(vi)
"Fish_ClimbingPerch",1111218905088,"",""
"Fish_Carp",1111244070912,"",""
"Fish_Catfish",1111244070913,"",""
"Fish_SilverCarp",1111244070914,"",""
"Fish_CrucianCarp",1111248265216,"",""
"Fish_Snakehead",1111248265217,"",""
"Fish_YoungSailfish",1111248265218,"",""
"Fish_StreamFish",1111248265219,"",""
"Fish_Hemibagrus",1111248265220,"",""
"Fish_MountainSalmon",1111248265221,"",""
"Fish_BlackCarp",1111248265222,"",""
"Fish_Eel",1111248265223,"",""
"Fish_GiantCatfish",1111248265224,"",""
"Fish_RiverSeahorse",1111248265225,"",""
"Fish_Redtail",1111248265226,"",""
"Fish_BlackGold",1111248265227,"",""
"Fish_Moonlight",1111248265228,"",""
"Fish_RoyalKoi",1111248265229,"",""
"Fish_BlueIce",1111248265230,"",""
"Fish_RiverTiger",1111248265231,"",""
"Fish_OneEyed",1111248265232,"",""
"Fish_PhantomLake",1111248265233,"",""
"Fish_AzureDragon",1111248265234,"",""
"Fish_Galaxy",1111248265235,"",""
"Fish_Starshine",1111248265236,"",""
"Fish_Shadow",1111248265237,"",""
"Fish_Leviathan",1111248265238,"",""
"Fish_DragonKing",1111248265239,"",""
"Fish_ForestSpirit",1111248265240,"",""
"Fish_AncientMoon",1111248265241,"",""
"Fish_Mythic",1111248265242,"",""
